id,scandate,dependencyId,vulnerabilityId,dependencyPathId,toolId,confidence,severity,count,id,repositoryId,packageId,id,group,artifact,version,ecosystem,id,source,cveId,sourceId,publishDate,description,CVSS2_score,CVSS2_severity,CVSS3_score,CVSS3_severity
13986,"Fri, 25 Sep 2020 18:14:08 -0400",1682,311,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,311,NVD,CVE-2017-12796,,2017-10-23 04:29:00,"The Reporting Compatibility Add On before 2.0.4 for OpenMRS, as distributed in OpenMRS Reference Application before 2.6.1, does not authenticate users when deserializing XML input into ReportSchema objects. The result is that remote unauthenticated users are able to execute operating system commands by crafting malicious XML payloads, as demonstrated by a single admin/reports/reportSchemaXml.form request.",10,HIGH,9.8,CRITICAL
13987,"Fri, 25 Sep 2020 18:14:08 -0400",1682,312,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,312,NVD,CVE-2018-19276,,2019-03-21 16:00:00,OpenMRS before 2.24.0 is affected by an Insecure Object Deserialization vulnerability that allows an unauthenticated user to execute arbitrary commands on the targeted system via crafted XML data in a request body.,10,HIGH,9.8,CRITICAL
13988,"Fri, 25 Sep 2020 18:14:08 -0400",1682,313,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,313,NVD,CVE-2020-5728,,2020-04-17 19:15:00,"OpenMRS 2.9 and prior copies Referrer header values into an html element named redirectUrl within many webpages (such as login.htm). There is insufficient validation for this parameter, which allows for the possibility of cross-site scripting.",4.3,MEDIUM,6.1,MEDIUM
13989,"Fri, 25 Sep 2020 18:14:08 -0400",1682,314,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,314,NVD,CVE-2020-5729,,2020-04-17 19:15:00,"In OpenMRS 2.9 and prior, the UI Framework Error Page reflects arbitrary, user-supplied input back to the browser, which can result in XSS. Any page that is able to trigger a UI Framework Error is susceptible to this issue.",4.3,MEDIUM,6.1,MEDIUM
13990,"Fri, 25 Sep 2020 18:14:08 -0400",1682,315,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,315,NVD,CVE-2020-5730,,2020-04-17 19:15:00,"In OpenMRS 2.9 and prior, the sessionLocation parameter for the login page is vulnerable to cross-site scripting.",4.3,MEDIUM,6.1,MEDIUM
13991,"Fri, 25 Sep 2020 18:14:08 -0400",1682,316,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,316,NVD,CVE-2020-5731,,2020-04-17 19:15:00,"In OpenMRS 2.9 and prior, the app parameter for the ActiveVisit's page is vulnerable to cross-site scripting.",4.3,MEDIUM,6.1,MEDIUM
13992,"Fri, 25 Sep 2020 18:14:08 -0400",1682,317,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,317,NVD,CVE-2020-5732,,2020-04-17 19:15:00,"In OpenMRS 2.9 and prior, he import functionality of the Data Exchange Module does not properly redirect to a login page when an unauthenticated user attempts to access it. This allows unauthenticated users to use a feature typically restricted to administrators.",5.8,MEDIUM,6.1,MEDIUM
13993,"Fri, 25 Sep 2020 18:14:08 -0400",1682,318,3480,4,HIGHEST,,1,1682,25,2116,2116,npm,@openmrs/angularjs-openmrs-api,0.8.1,npm,318,NVD,CVE-2020-5733,,2020-04-17 19:15:00,"In OpenMRS 2.9 and prior, the export functionality of the Data Exchange Module does not properly redirect to a login page when an unauthenticated user attempts to access it. This allows the export of potentially sensitive information.",5.8,MEDIUM,6.1,MEDIUM
13994,"Fri, 25 Sep 2020 18:14:08 -0400",2767,543,2405,4,HIGHEST,,1,2767,25,1564,1564,npm,acorn,2.6.4,npm,543,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:3.3.0,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
13995,"Fri, 25 Sep 2020 18:14:08 -0400",2766,543,2406,4,HIGHEST,,1,2766,25,2777,2777,npm,acorn,2.7.0,npm,543,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-acorn:3.3.0,,"ECMAScript parser : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
