id,group,artifact,version,ecosystem
10,commons-codec,commons-codec,1.10,maven
128,log4j,log4j,1.2.15,maven
808,net.sourceforge.htmlunit,htmlunit,2.18,maven
809,xalan,xalan,2.7.2,maven
813,net.sourceforge.htmlunit,htmlunit-core-js,2.17,maven
814,xerces,xercesImpl,2.11.0,maven
819,org.eclipse.jetty.websocket,websocket-client,9.2.12.v20150709,maven
820,org.eclipse.jetty,jetty-util,9.2.12.v20150709,maven
824,org.apache.httpcomponents,httpclient,4.5.1,maven
833,io.netty,netty,3.5.2.Final,maven
837,org.codehaus.plexus,plexus-utils,1.5.6,maven
846,commons-collections,commons-collections,3.2.1,maven
847,mysql,mysql-connector-java,5.1.25,maven
853,com.google.guava,guava,14.0.1,maven
860,com.fasterxml.jackson.core,jackson-core,2.2.3,maven
861,com.fasterxml.jackson.core,jackson-databind,2.2.3,maven
866,com.googlecode.json-simple,json-simple,1.1,maven
3261,net.sourceforge.htmlunit,htmlunit,2.19-SNAPSHOT,maven
1,org.springframework,spring-test,4.1.4.RELEASE,maven
2,org.springframework,spring-core,4.1.4.RELEASE,maven
3,com.h2database,h2,1.4.199,maven
7,commons-collections,commons-collections,3.2.2,maven
8,org.apache.poi,poi-ooxml,3.17,maven
9,org.apache.poi,poi,3.17,maven
11,org.apache.commons,commons-collections4,4.1,maven
16,postgresql,postgresql,9.0-801.jdbc4,maven
30,org.openmrs.api,openmrs-api,2.3.0,maven
32,commons-beanutils,commons-beanutils,1.9.3,maven
38,log4j,log4j,1.2.17,maven
52,org.hibernate,hibernate-core,4.3.9.Final,maven
61,com.mchange,c3p0,0.9.2.1,maven
64,org.hibernate,hibernate-search-orm,5.1.2.Final,maven
68,org.apache.lucene,lucene-queryparser,4.10.4,maven
72,dom4j,dom4j,1.6.1,maven
74,com.thoughtworks.xstream,xstream,1.4.11.1,maven
78,org.openmrs.liquibase.ext,modify-column,2.0.2,maven
79,org.openmrs.liquibase.ext,identity-insert,1.2.1,maven
80,org.openmrs.liquibase.ext,type-converter,1.0.1,maven
81,xerces,xercesImpl,2.8.0,maven
83,org.hibernate,hibernate-validator,4.2.0.Final,maven
85,org.codehaus.jackson,jackson-mapper-asl,1.9.13,maven
88,com.fasterxml.jackson.core,jackson-databind,2.9.8,maven
89,org.codehaus.groovy,groovy-all,2.4.6,maven
98,javax.servlet,jstl,1.1.2,maven
100,commons-fileupload,commons-fileupload,1.3.3,maven
101,org.springframework,spring-web,4.1.4.RELEASE,maven
102,org.springframework,spring-webmvc,4.1.4.RELEASE,maven
103,org.springframework,spring-expression,4.1.4.RELEASE,maven
104,org.springframework,spring-oxm,4.1.4.RELEASE,maven
105,mysql,mysql-connector-java,5.1.45,maven
108,taglibs,standard,1.1.2,maven
117,org.apache.struts,struts-core,1.3.8,maven
118,org.apache.struts,struts-taglib,1.3.8,maven
119,org.apache.struts,struts-tiles,1.3.8,maven
3269,javascript,jquery-ui.custom.min,1.8.2,maven
3270,javascript,jquery.min,1.7.1,maven
123,commons-collections,commons-collections,3.2,maven
125,commons-beanutils,commons-beanutils,1.7.0,maven
129,org.springframework,spring-core,3.0.5.RELEASE,maven
133,org.springframework,spring-expression,3.0.5.RELEASE,maven
136,org.springframework,spring-tx,3.0.5.RELEASE,maven
146,org.openmrs.simpleframework,simple-xml,1.6.1-mod,maven
155,c3p0,c3p0,0.9.1,maven
160,com.thoughtworks.xstream,xstream,1.4.3,maven
164,org.codehaus.groovy,groovy-all,1.7.6,maven
167,org.openmrs.directwebremoting,dwr,2.0.5-mod,maven
168,commons-fileupload,commons-fileupload,1.2.1,maven
171,org.springframework,spring-web,3.0.5.RELEASE,maven
172,org.springframework,spring-webmvc,3.0.5.RELEASE,maven
174,org.springframework,spring-oxm,3.0.5.RELEASE,maven
177,mysql,mysql-connector-java,5.1.28,maven
179,org.codehaus.jackson,jackson-core-asl,1.5.0,maven
180,org.codehaus.jackson,jackson-mapper-asl,1.5.0,maven
184,org.springframework,spring-test,3.0.5.RELEASE,maven
185,com.h2database,h2,1.4.187,maven
189,org.apache.poi,poi,3.5-beta5,maven
193,org.apache.derby,derbyclient,10.4.2.0,maven
260,commons-codec,commons-codec,1.9,maven
587,org.openmrs.api,openmrs-api,1.10.6,maven
953,org.openmrs.module,addresshierarchy-api,2.11.0,maven
954,org.openmrs.module,exti18n-api,1.0.0,maven
207,com.github.jknack,handlebars,1.1.2,maven
249,xalan,xalan,2.7.0,maven
270,org.openmrs.api,openmrs-api,1.11.4,maven
271,org.springframework,spring-core,3.2.7.RELEASE,maven
285,org.apache.solr,solr-core,3.1.0,maven
286,org.apache.solr,solr-solrj,3.1.0,maven
302,org.springframework,spring-web,3.2.7.RELEASE,maven
303,org.springframework,spring-webmvc,3.2.7.RELEASE,maven
304,org.springframework,spring-oxm,3.2.7.RELEASE,maven
373,org.openmrs.module,providermanagement-api,2.5.0,maven
380,org.openmrs.module,appframework-api,2.9,maven
435,org.openmrs.module,appui-api,1.7,maven
652,org.openmrs.module,uicommons-api,2.1,maven
736,org.openmrs.module,uicommons-omod,2.1,maven
797,org.openmrs.module,adminui-api,1.3.0,maven
3271,javascript,handlebars,1.0.0,maven
3276,javascript,handlebars,2.0.0,maven
3277,javascript,handlebars.min,2.0.0,maven
3278,javascript,jquery,1.8.3.min,maven
3279,javascript,knockout,2.1.0,maven
3281,javascript,handlebars,1.3.0,maven
3282,javascript,angular-resource.min,1.5.8,maven
3283,javascript,angular-sanitize.min,1.5.8,maven
3284,javascript,angular,1.5.8,maven
3285,javascript,angular.min,1.5.8,maven
3288,javascript,moment-with-locales.min,2.10.3,maven
3289,javascript,moment,2.10.3,maven
3290,javascript,moment.min,2.10.3,maven
245,org.openmrs.api,openmrs-api,2.0.0,maven
385,org.openmrs.api,openmrs-api,1.9.9,maven
388,com.h2database,h2,1.2.135,maven
734,org.openmrs.module,allergyui-api,1.8.2,maven
735,org.openmrs.module,allergyapi-api,1.4,maven
222,com.fasterxml.jackson.core,jackson-databind,2.5.4,maven
224,com.fasterxml.jackson.core,jackson-core,2.5.4,maven
225,commons-codec,commons-codec,1.5,maven
383,org.openmrs.module,appframework-api,2.14.0,maven
393,org.openmrs.module,webservices.rest-omod-common,2.21.0,maven
397,org.yaml,snakeyaml,1.17,maven
400,com.google.guava,guava,20.0,maven
234,org.apache.poi,poi,3.9,maven
235,org.quartz-scheduler,quartz,2.1.1,maven
236,org.apache.poi,poi-ooxml,3.9,maven
596,org.openmrs.module,serialization.xstream-api,0.2.7,maven
597,org.openmrs.module,calculation-api,1.0,maven
599,org.openmrs.module,webservices.rest-omod-common,2.5,maven
600,org.openmrs.module,webservices.rest-omod-1.8,2.5,maven
786,org.openmrs.module,reporting-api,0.9.2,maven
787,org.openmrs.module,appointmentscheduling-api,1.12.0,maven
788,org.openmrs.module,webservices.rest-omod,2.5,maven
789,org.openmrs.module,webservices.rest-omod-1.9,2.5,maven
790,org.openmrs.module,webservices.rest-omod-1.10,2.5,maven
3307,javascript,jquery,1.9.1.min,maven
3308,javascript,jquery-ui,1.10.2,maven
3309,javascript,jquery,1.3.2,maven
3326,javascript,jquery.min,1.3.2,javascript
