id,source,cveId,sourceId,publishDate,description,CVSS2_score,CVSS2_severity,CVSS3_score,CVSS3_severity
1126,OSSINDEX,,OWASP-Possible XML Injection-plexus-utils-1.5.6.jar,,"> `org.codehaus.plexus.util.xml.XmlWriterUtil#writeComment(XMLWriter, String, int, int, int)` does not check if the comment includes a ` --> ` sequence.  This means that text contained in the command string could be interpreted as XML, possibly leading to XML injection issues, depending on how this method is being called. >  > -- [github.com](https://github.com/codehaus-plexus/plexus-utils/issues/3)",,,,
1125,OSSINDEX,,OWASP-Directory traversal in org.codehaus.plexus.util.Expand-plexus-utils-1.5.6.jar,,"> org.codehaus.plexus.util.Expand does not guard against directory traversal, but such protection is generally expected from unarchiving tools. >  > -- [github.com](https://github.com/codehaus-plexus/plexus-utils/issues/4)",,,,
1190,NPM,,OWASP-1555-bl:1.2.2,,"A buffer over-read vulnerability exists in bl <4.0.3, <3.0.1 <2.2.1 and <1.2.3 which could allow an attacker to supply user input (even typed) that if it ends up in consume() argument and can become negative, the BufferList state can be corrupted, tricking it into exposing uninitialized memory via regular .slice() calls.",,,,
614,NPM,,OWASP-535-mime:1.6.0,,A comprehensive library for mime-type mapping : Affected versions of `mime` are vulnerable to regular expression denial of service when a mime lookup is performed on untrusted user input.,,,,
613,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-mime:1.2.4,,"A comprehensive library for mime-type mapping : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
567,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-mime:1.3.6,,"A comprehensive library for mime-type mapping : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
524,NPM,,OWASP-118-minimatch:3.0.4,,"a glob matcher in javascript : Affected versions of `minimatch` are vulnerable to regular expression denial of service attacks when user input is passed into the `pattern` argument of `minimatch(path, pattern)`.   ## Proof of Concept ``` var minimatch = require(“minimatch”);  // utility function for generating long strings var genstr = function (len, chr) {   var result = “”;   for (i=0; i<=len; i++) {     result = result + chr;   }   return result; }  var exploit = “[!” + genstr(1000000, “”) + “A”;  // minimatch exploit. console.log(“starting minimatch”); minimatch(“foo”, exploit); console.log(“finishing minimatch”); ```",,,,
774,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-minimatch:3.0.0,,"a glob matcher in javascript : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,,
773,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-minimatch:0.3.0,,"a glob matcher in javascript : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,,
523,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-minimatch:2.0.10,,"a glob matcher in javascript : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,,
522,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-minimatch:0.2.14,,"a glob matcher in javascript : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,,
757,OSSINDEX,,OWASP-CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion')-is-my-json-valid:2.13.1,,"A JSONSchema validator that uses code generation to be extremely fast : The software does not properly restrict the size or amount of resources that are requested or influenced by an actor, which can be used to consume more resources than intended.",,,7.5,HIGH
756,NPM,,OWASP-572-is-my-json-valid:2.13.1,,A JSONSchema validator that uses code generation to be extremely fast : Version of `is-my-json-valid` before 1.4.1 or 2.17.2 are vulnerable to regular expression denial of service (ReDoS) via the email validation function.,,,,
1207,NPM,,OWASP-1556-node-fetch:1.7.3,,"A light-weight module that brings window.fetch to node.js and io.js : Node Fetch did not honor the size option after following a redirect, which means that when a content size was over the limit, a FetchError would never get thrown and the process would end without failure.  For most people, this fix will have a little or no impact. However, if you are relying on node-fetch to gate files above a size, the impact could be significant, for example: If you don't double-check the size of the data after fetch() has completed, your JS thread could get tied up doing work on a large file (DoS) and/or cost you money in computing.",,,,
538,OSSINDEX,,OWASP-Prototype override protection bypass-qs:5.2.0,,"A querystring parser that supports nesting and arrays, with a depth limit : A prototype override protection bypass is possible, which allows attackers to overwrite properties and functions. A previous solution for the problem is incomplete.",,,,
536,OSSINDEX,,OWASP-Prototype override protection bypass-qs:2.2.5,,"A querystring parser that supports nesting and arrays, with a depth limit : A prototype override protection bypass is possible, which allows attackers to overwrite properties and functions. A previous solution for the problem is incomplete.",,,,
568,OSSINDEX,,OWASP-Prototype override protection bypass-qs:6.2.3,,"A querystring parser that supports nesting and arrays, with a depth limit : A prototype override protection bypass is possible, which allows attackers to overwrite properties and functions. A previous solution for the problem is incomplete.",,,,
787,OSSINDEX,,OWASP-Prototype override protection bypass-qs:2.3.3,,"A querystring parser that supports nesting and arrays, with a depth limit : A prototype override protection bypass is possible, which allows attackers to overwrite properties and functions. A previous solution for the problem is incomplete.",,,,
788,NPM,,OWASP-1469-qs:6.5.2,,"A querystring parser that supports nesting and arrays, with a depth limit : Affected version of `qs` are vulnerable to Prototype Pollution because it is possible to bypass the protection. The `qs.parse` function fails to properly prevent an object's prototype to be altered when parsing arbitrary input. Input containing `[` or `]` may bypass the prototype pollution protection and alter the Object prototype. This allows attackers to override properties that will exist in all objects, which may lead to Denial of Service or Remote Code Execution in specific circumstances.",,,,
534,NPM,,OWASP-1469-qs:2.2.5,,"A querystring parser that supports nesting and arrays, with a depth limit : Affected version of `qs` are vulnerable to Prototype Pollution because it is possible to bypass the protection. The `qs.parse` function fails to properly prevent an object's prototype to be altered when parsing arbitrary input. Input containing `[` or `]` may bypass the prototype pollution protection and alter the Object prototype. This allows attackers to override properties that will exist in all objects, which may lead to Denial of Service or Remote Code Execution in specific circumstances.",,,,
537,OSSINDEX,,OWASP-CWE-20: Improper Input Validation-qs:5.2.0,,"A querystring parser that supports nesting and arrays, with a depth limit : The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program.",,,8.2,HIGH
786,OSSINDEX,,OWASP-CWE-20: Improper Input Validation-qs:2.3.3,,"A querystring parser that supports nesting and arrays, with a depth limit : The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program.",,,8.2,HIGH
535,OSSINDEX,,OWASP-CWE-20: Improper Input Validation-qs:2.2.5,,"A querystring parser that supports nesting and arrays, with a depth limit : The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program.",,,8.2,HIGH
518,OSSINDEX,,OWASP-CWE-506: Embedded Malicious Code-lodash:2.4.2,,"A utility library delivering consistency, customization, performance, & extras. : The application contains code that appears to be malicious in nature.",,,9.6,CRITICAL
