Name,Version,LatestVersion,License,Website,ComponentType,Labels,Files,Vulnerabilities
httpcomponents-client,4.5.2,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://hc.apache.org/httpcomponents-client",Unknown,[],"[{""Timestamp"":1456073736000,""File"":""733db77aa8d9b2d68015189df76ab06304406e50.jar""}]",[]
commons-beanutils,1.9.3,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","https://commons.apache.org/proper/commons-beanutils/",Unknown,[],"[{""Timestamp"":1474478392000,""File"":""c845703de334ddc6b4b3cd26835458cb1cba1f3d.jar""}]","[{""CVE"":""CVE-2019-10086"",""Date"":1566335700000,""CVSS"":""7.5"",""Type"":""Exact Match""}]"
httpcomponents-client,4.5.3,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""client"",""protocol""]","[{""Timestamp"":1510187350000,""File"":""308b62c17d0364cc76335f2c6ca23ad2848d1679.jar""}]",[]
reflectutils,0.9.14,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://code.google.com/p/reflectutils/",Unknown,[],"[{""Timestamp"":1270486556000,""File"":""41456846508d467dd0e107cf3b7a101cd6c1a38f.jar""}]",[]
jetty-security,8.1.15.v20140411,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.eclipse.org/jetty",Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
jetty-util,9.4.11.v20180605,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.eclipse.org/jetty",Unknown,[],"[{""Timestamp"":1540273444000,""File"":""038076997b10f5c762a210ea8b9f6099da35ac5f.jar""}]",[]
jackson-databind,,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""json"",""mapping""]","[{""Timestamp"":1373832168000,""File"":""1ee2f2bed0e5dd29d1cb155a166e6f8d50bbddb7.jar""}]","[{""CVE"":""CVE-2018-1000873"",""Date"":1545326940000,""CVSS"":""4.3"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-14718"",""Date"":1546453740000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-7489"",""Date"":1519658940000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-11307"",""Date"":1562688900000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-5968"",""Date"":1516595340000,""CVSS"":""5.1"",""Type"":""Exact Match""},{""CVE"":""CVE-2017-15095"",""Date"":1517930940000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-14540"",""Date"":1568585700000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-16335"",""Date"":1568585700000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-16942"",""Date"":1569950100000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-16943"",""Date"":1569950100000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-17267"",""Date"":1570407300000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-17531"",""Date"":1570914900000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-12022"",""Date"":1553184000000,""CVSS"":""5.1"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-12023"",""Date"":1553184000000,""CVSS"":""5.1"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-14719"",""Date"":1546453740000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-14720"",""Date"":1546453740000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-14721"",""Date"":1546453740000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-14379"",""Date"":1564402500000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-19360"",""Date"":1546453740000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-19361"",""Date"":1546453740000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-19362"",""Date"":1546453740000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-12086"",""Date"":1558114140000,""CVSS"":""5.0"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-12814"",""Date"":1560953700000,""CVSS"":""4.3"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-14439"",""Date"":1564485300000,""CVSS"":""5.0"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-12384"",""Date"":1561392900000,""CVSS"":""4.3"",""Type"":""Exact Match""},{""CVE"":""CVE-2017-17485"",""Date"":1515608940000,""CVSS"":""7.5"",""Type"":""Exact Match""},{""CVE"":""CVE-2017-7525"",""Date"":1517930940000,""CVSS"":""7.5"",""Type"":""Exact Match""}]"
hapi-structures-v25,2.1,,"{""Name"":""MPL"",""URL"":""https://www.mozilla.org/en-US/MPL/"",""Type"":""lgpl""}",,Unknown,[],"[{""Timestamp"":1363439396000,""File"":""7d37e5925b7d63624f787f68cff7c78c4b343105.jar""}]",[]
hk2-utils,2.2.0,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
"maven-scm-provider-git-commons",1.7,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1335453936000,""File"":""627186000b9a1f2f5cf1f31d367247e5c2acb75a.jar""}]",[]
hapi-structures-v25,2.0,,"{""Name"":""MPL"",""URL"":""https://www.mozilla.org/en-US/MPL/"",""Type"":""lgpl""}",,Unknown,[],"[{""Timestamp"":1342280138000,""File"":""5b5580ba1fe391253004295b2f84461450a0d244.jar""}]",[]
